SID,SEASON,BASIN,iso_time,storm_name,storm_status,lat,lon,wind_kt,pres_hpa,pres_source,usa_pres_hpa,wmo_pres_hpa,poci_hpa,roci_km,rmw_km,r34_ne_nm,r34_se_nm,r34_sw_nm,r34_nw_nm,r50_ne_nm,r50_se_nm,r50_sw_nm,r50_nw_nm,r64_ne_nm,r64_se_nm,r64_sw_nm,r64_nw_nm,storm_speed_kt,storm_dir_deg
1970220N14342,1970,NA,1970-08-07T12:00:00Z,UNNAMED,TD,14,-18.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,270
1970220N14342,1970,NA,1970-08-07T15:00:00Z,UNNAMED,TD,14,-19,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,270
1970220N14342,1970,NA,1970-08-07T18:00:00Z,UNNAMED,TD,14,-19.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,270
1970220N14342,1970,NA,1970-08-07T21:00:00Z,UNNAMED,TD,14,-20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,270
1970220N14342,1970,NA,1970-08-08T03:00:00Z,UNNAMED,TD,14,-21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,270
1970220N14342,1970,NA,1970-08-08T06:00:00Z,UNNAMED,TD,14,-21.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,270
1970220N14342,1970,NA,1970-08-08T09:00:00Z,UNNAMED,TD,14,-22,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,270
1970220N14342,1970,NA,1970-08-08T12:00:00Z,UNNAMED,TD,14,-22.5,30,1006,USA,1006,1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,270
1970220N14342,1970,NA,1970-08-08T15:00:00Z,UNNAMED,TD,14,-23.1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,270
1970220N14342,1970,NA,1970-08-08T18:00:00Z,UNNAMED,TD,14,-23.7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,270
1970220N14342,1970,NA,1970-08-08T21:00:00Z,UNNAMED,TD,14,-24.3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,270
1970220N14342,1970,NA,1970-08-09T03:00:00Z,UNNAMED,TD,14,-25.7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,270
1970220N14342,1970,NA,1970-08-09T06:00:00Z,UNNAMED,TD,14,-26.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,270
1970220N14342,1970,NA,1970-08-09T09:00:00Z,UNNAMED,TD,14,-27.3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,270
1970220N14342,1970,NA,1970-08-09T12:00:00Z,UNNAMED,TD,14,-28.1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,270
1970220N14342,1970,NA,1970-08-09T15:00:00Z,UNNAMED,TD,14,-29,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,265
1970220N14342,1970,NA,1970-08-09T18:00:00Z,UNNAMED,TD,13.9,-30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,265
1970220N14342,1970,NA,1970-08-09T21:00:00Z,UNNAMED,TD,13.8,-31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,265
1970220N14342,1970,NA,1970-08-10T03:00:00Z,UNNAMED,TD,13.8,-33,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,265
1970220N14342,1970,NA,1970-08-10T06:00:00Z,UNNAMED,TD,13.7,-33.9,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,265
1970220N14342,1970,NA,1970-08-10T09:00:00Z,UNNAMED,TD,13.6,-34.8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,265
1970220N14342,1970,NA,1970-08-10T12:00:00Z,UNNAMED,TD,13.5,-35.7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,265
