SID,SEASON,BASIN,ISO_TIME,USA_LAT,USA_LON,USA_WIND,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW
1970220N14342,1970,NA,1970-08-07T12:00:00Z,14,-18.5,25,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-07T15:00:00Z,14,-19,25,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-07T18:00:00Z,14,-19.5,25,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-07T21:00:00Z,14,-20,25,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-08T00:00:00Z,14,-20.5,25,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-08T03:00:00Z,14,-21,28,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-08T06:00:00Z,14,-21.5,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-08T09:00:00Z,14,-22,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-08T12:00:00Z,14,-22.5,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-08T15:00:00Z,14,-23.1,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-08T18:00:00Z,14,-23.7,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-08T21:00:00Z,14,-24.3,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-09T00:00:00Z,14,-25,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-09T03:00:00Z,14,-25.7,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-09T06:00:00Z,14,-26.5,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-09T09:00:00Z,14,-27.3,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-09T12:00:00Z,14,-28.1,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-09T15:00:00Z,14,-29,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-09T18:00:00Z,13.9,-30,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-09T21:00:00Z,13.8,-31,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-10T00:00:00Z,13.8,-32,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-10T03:00:00Z,13.8,-33,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-10T06:00:00Z,13.7,-33.9,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-10T09:00:00Z,13.6,-34.8,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-10T12:00:00Z,13.5,-35.7,30,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-10T15:00:00Z,13.4,-36.6,33,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-10T18:00:00Z,13.3,-37.5,35,NA,NA,NA,NA
1970220N14342,1970,NA,1970-08-10T21:00:00Z,13.2,-38.5,35,NA,NA,NA,NA
